date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
11/1/14,"Problem, Ariana Grande",Problem,Ariana Grande,0.66,0.805,1.0,-5.352,0.0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,193920.0,2.1777003484320554
2/10/18,"Believer, Imagine Dragons",Believer,Imagine Dragons,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0,2.1755537325676784
3/10/12,"I Will Always Love You, Whitney Houston",I Will Always Love You,Whitney Houston,0.332,0.214,4.0,-12.518,1.0,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,271093.0,2.175
11/16/13,"Get Lucky, Daft Punk",Get Lucky,Daft Punk,0.794,0.811,6.0,-8.966,0.0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413.0,2.167525773195876
11/10/18,"The Middle, Zedd, Maren Morris",The Middle,"Zedd, Maren Morris",0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,2.1650879566982404
3/7/20,"I Don't Care, Ed Sheeran",I Don't Care,Ed Sheeran,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0,2.1422535211267606
9/21/13,"Thrift Shop, Macklemore",Thrift Shop,Macklemore,0.781,0.526,6.0,-6.986,0.0,0.293,0.0633,0.0,0.0457,0.665,94.993,235613.0,2.1323268206039074
7/19/14,"Timber, Pitbull",Timber,Pitbull,0.581,0.963,11.0,-4.087,1.0,0.0981,0.0295,0.0,0.139,0.788,129.992,204160.0,2.121338912133892
11/25/17,"Body Like A Back Road, Sam Hunt",Body Like A Back Road,Sam Hunt,0.736,0.458,5.0,-7.437,1.0,0.0316,0.441,0.0,0.148,0.65,98.977,162547.0,2.119798234552333
12/26/20,"I Hope, Gabby Barrett",I Hope,Gabby Barrett,0.466,0.536,6.0,-6.227,1.0,0.0429,0.0951,0.0,0.114,0.377,75.998,210773.0,2.1146341463414635
3/19/16,"See You Again, Wiz Khalifa",See You Again,Wiz Khalifa,0.689,0.481,10.0,-7.503,1.0,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526.0,2.1075604053000783
12/2/17,"Something Just Like This, The Chainsmokers",Something Just Like This,The Chainsmokers,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,2.100828729281768
12/6/14,"All Of Me, John Legend",All Of Me,John Legend,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,2.079450418160096
2/4/12,"Super Bass, Nicki Minaj",Super Bass,Nicki Minaj,0.723,0.86,11.0,-4.357,1.0,0.203,0.271,4.56e-06,0.598,0.667,126.979,200013.0,2.0778688524590163
12/26/20,"Mood, 24kGoldn",Mood,24kGoldn,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0,2.074712643678161
2/27/16,"Watch Me, Silento",Watch Me,Silento,0.821,0.759,8.0,-8.541,1.0,0.121,0.247,0.0,0.321,0.962,140.01,185143.0,2.0610142630744845
4/6/13,"Diamonds, Rihanna",Diamonds,Rihanna,0.564,0.71,11.0,-4.92,0.0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147.0,2.054711246200608
7/30/11,"Firework, Katy Perry",Firework,Katy Perry,0.638,0.832,8.0,-5.039,1.0,0.049,0.141,0.0,0.113,0.648,124.071,227893.0,2.045685279187817
7/7/18,"Havana, Camila Cabello",Havana,Camila Cabello,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307.0,2.0454545454545454
1/25/14,"Holy Grail, Jay Z",Holy Grail,Jay Z,0.676,0.534,2.0,-6.901,0.0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,338413.0,2.0363128491620115
11/30/19,"Dancing With A Stranger, Sam Smith",Dancing With A Stranger,Sam Smith,0.741,0.52,8.0,-7.513,1.0,0.0656,0.447,1.97e-06,0.222,0.347,102.998,171030.0,2.029058116232465
8/10/19,"High Hopes, Panic! At The Disco",High Hopes,Panic! At The Disco,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,190947.0,2.022438294689604
6/4/16,"Stitches, Shawn Mendes",Stitches,Shawn Mendes,0.752,0.754,1.0,-6.684,1.0,0.0615,0.0151,0.0,0.0486,0.755,149.789,206880.0,2.022438294689604
8/24/13,"Ho Hey, The Lumineers",Ho Hey,The Lumineers,0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133.0,2.0031266284523186
5/25/19,"Thank U, Next, Ariana Grande","Thank U, Next",Ariana Grande,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0,2.0
10/26/13,"Cruise, Florida Georgia Line",Cruise,Florida Georgia Line,0.457,0.948,10.0,-3.364,1.0,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960.0,1.9904436860068264
3/14/15,"Bang Bang, Jessie J, Ariana Grande",Bang Bang,"Jessie J, Ariana Grande",0.706,0.786,0.0,-3.417,0.0,0.091,0.26,0.0,0.38,0.751,150.028,199387.0,1.9814432989690725
4/12/14,"Wrecking Ball, Miley Cyrus",Wrecking Ball,Miley Cyrus,0.53,0.422,5.0,-6.262,1.0,0.0342,0.407,0.0,0.107,0.349,119.964,221360.0,1.9504761904761905
11/5/16,"Work From Home, Fifth Harmony",Work From Home,Fifth Harmony,0.803,0.585,8.0,-5.861,1.0,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480.0,1.9395973154362407
9/19/20,"Intentions, Justin Bieber",Intentions,Justin Bieber,0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986,212867.0,1.918163672654691
3/25/17,"Side To Side, Ariana Grande",Side To Side,Ariana Grande,0.65,0.736,6.0,-5.84,0.0,0.229,0.0528,0.0,0.235,0.613,159.173,226160.0,1.9168704156479217
5/25/19,"Drip Too Hard, Lil Baby",Drip Too Hard,Lil Baby,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,1.9140625
8/5/17,"24K Magic, Bruno Mars",24K Magic,Bruno Mars,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,225983.0,1.9124004550625715
12/14/13,"Mirrors, Justin Timberlake",Mirrors,Justin Timberlake,0.574,0.512,5.0,-6.664,0.0,0.0503,0.234,0.0,0.0946,0.512,76.899,484147.0,1.9090909090909087
4/20/13,"One More Night, Maroon 5",One More Night,Maroon 5,0.718,0.82,5.0,-3.453,0.0,0.0323,0.0444,0.0,0.0846,0.613,92.998,219467.0,1.900862068965517
10/20/12,"We Are Young, fun.",We Are Young,fun.,0.378,0.638,10.0,-5.576,1.0,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627.0,1.900862068965517
12/30/17,"Humble., Kendrick Lamar",Humble.,Kendrick Lamar,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000.0,1.8987517337031896
4/5/14,"Hold On, We're Going Home, Drake","Hold On, We're Going Home",Drake,0.777,0.414,6.0,-7.44,0.0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880.0,1.887348354
2/25/17,"Cheap Thrills, Sia",Cheap Thrills,Sia,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667.0,1.884320557491289
